Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
observacion;OBSERVACION;prestación;PRESTACION;IDENTIFICADOR
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Luego del corte masivo de luz del día 1/03 del corriente, la luminaria ubicada en la dirección indicada dejó de funcionar. La calle es sumamente oscura por la presencia de árboles muy frondosos, lo que la hace peligrosa;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00131003/23
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;Hice este pedido hace dos o tres años y luego de controlar que la rotura de la vereda era por trabajos de empresas de servicios, me indicaron que iban a realizar la reparación. Pasaron los años y no solo no arreglaron nada sino que veo con desagrado que no existe ningún reclamo pendiente.  No sé si esta cuadra ha dejado de pertenecer a CABA porque viven haciendo 1, 2, 3 veces las mismas veredas y acá no vinieron nunca;reparación veredo;Reparación de vereda;00131009/23
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;Con motivo de la errada construcción de un metrobus en una avenida por donde SOLO PASAN 3 LINEAS DE COLECTIVOS, el GCBA retiró la campana verde que hace varios años se encontraba en la dirección mencionada. El problema es que, POR CUESTIONES QUE DESCONOZCO también DESAPARECIERON la campana que se encontraba en Martínez Castro al 400. Siendo estas dos las opciones que teníamos los vecinos DENTRO DE LOS 150 MTS QUE ASEGURAN QUE CONTAMOS, agradecería que se lleven su bolsita verde de mi casa porque no pienso recorrer el barrio viendo si dejaron alguno de sus tachos. De hoy en adelante, toda mi basura vuelve a los tachos grises hasta que los desaparezcan y mi basura se desparramará por la calle;Instalación Campana Verde;Instalación de Campana Verde;00180343/23
vecina solicitar poda árbol detallar rama bajo dificultar circulación peatonal vereda justo esquina lado par árbol flor blanco;Vecina solicita la poda del árbol, detalla que tiene ramas muy bajas que dificulta la circulación peatonal por la vereda. Esta justo en la esquina del lado par, es un árbol con flores blancas.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00072231/23
solicitar instalación semáforo retirar esquina Nahuel Huapi Triunvirato esquina escuela peligro cruzar calle niño salir correr ser peligro vida;Solicita instalación de semáforo, ya que lo retiraron en la esquina de Nahuel Huapi y Triunvirato, en esa esquina hay una escuela es un peligro cruzar la calle, los niños salen corriendo siendo un peligro de vida.;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00324940/23
imposible levantar él ir trabajar desp horario Murga VOLUMEN IMPOSIBLE SOPORTAR vecino sábado 4 quedar 2:30 hs domingo 1 mañana locos;Es imposible levantarse para ir a trabajar desp de los horarios de la MURGA!!!!  El VOLUMEN ES IMPOSIBLE DE SOPORTAR para los vecinos  Los sábados hasta las 4.  (Se quedan hasta las 2:30 hs) Los domingos hasta la 1 de la mañana  Están LOCOS.;ruido molesto vibración;Ruidos molestos y vibraciones;00072730/23
Murga INSOPORTABLE vecino hacer pis caca vereda horario 4 mañana locura Gobierno jugar barrio desastre;La MURGA sea INSOPORTABLE a para los vecinos Hacen pis y caca en nuestras veredas Y que el horario sea hasta las 4 de la mañana es una locura  El Gobierno está jugando con nuestro barrio.   Un desastre;ruido molesto vibración;Ruidos molestos y vibraciones;00069782/23
finalizar;Finalizar;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00022104/23
finalizar;Finalizar;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00079356/23
