Observacion ; prestacion ; encontro ; total ; % score
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;cruce peligroso calle inconveniente vial;2;5;40
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;plantación árbol;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;extracción árbol;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Mayor iluminación calle plaza;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;árbol enfermedad;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Mayor presencia policial;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;establecimiento autorización funcionar venta elaboración alimento;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;establecimiento autorización funcionar vender elaborar alimento;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;luminaria intermitente;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;derrame líquido peligroso industrial;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación bache calle;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;repintado reparación marca vial calle cordón;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación veredo raíz árbol producir rotura;1;6;17
