Prestacion;N de Solicitudes;Categoría
Reparación de vereda;156641;Calles, Fachadas y Veredas
Poda de árbol/despeje de luminaria o semáforo;141595;Arbolado
Reparación de luminaria apagada durante la noche;74661;Alumbrado
Mejora de barrido;62672;Limpieza y Recolección
Propuestas para la mejora en trámites;47769;Sugerencias y Libro de Quejas
Extracción de árbol;43653;Arbolado
Plantación de árbol;33428;Arbolado
Desratizar, desinsectar y desinfectar en vía pública;31124;Limpieza y Recolección
Falta de recolección de restos de poda de arbolado público;27886;Limpieza y Recolección
Mayor presencia policial;27211;Seguridad
Inconvenientes con trámites;17892;Sugerencias y Libro de Quejas
Criaderos de mosquitos;11346;Salud
Reparación de luminaria por artefacto roto;11154;Alumbrado
Hidrolavado por grafitis/pegatinas;8665;Servicios
Funcionamiento / mantenimiento de escaleras mecánicas y ascensores- SUBTE;11098;Tránsito y Transporte
Ocupación indebida de la vereda/calzada por local comercial;6679;Ordenamiento del Espacio Público
Inconvenientes en Hospital Público;6326;Salud
Reparación de rampa de accesibilidad;5812;Calles, Fachadas y Veredas
Ocupación indebida por mantero o vendedor ambulante;4487;Ordenamiento del Espacio Público
Vereda sucia por mascotas;4350;Limpieza y Recolección
Inconvenientes con el personal - SUBTE;3361;Tránsito y Transporte
Refugio de transporte en mal estado o abandonado;2650;Ordenamiento del Espacio Público
Queja por Contenedores de basura ;20660;Limpieza y Recolección
